,by,delivery_error,distance_btwn_cones_pix,isPair,lConeNeighbors,masterID1,masterID2,rg,session,subject,trial,type1,type2,x1,x2,y1,y2
54,0,0.15432830899161,7.21110255092798,True,0.3,44,72,0.6,39,10001R,55,2,2,56,60,91,97
55,0,0.232358562070894,9.48683298050514,True,0.4,44,71,0,39,10001R,56,2,2,56,59,91,82
56,0,0.214055403884838,0,False,0.333333333333333,44,44,0,39,10001R,57,2,2,56,56,91,91
57,0,0.242189512746253,9.48683298050514,True,0.4,44,71,0,39,10001R,58,2,2,56,59,91,82
58,0,0.242753875737685,15.0332963783729,True,0.5,71,72,0.4,39,10001R,59,2,2,59,60,82,97
59,,0.221482236700596,0,False,0.333333333333333,72,72,,39,10001R,60,2,2,60,60,97,97
60,-0.2,0.21014889741937,15.0332963783729,True,0.5,71,72,0.8,39,10001R,61,2,2,59,60,82,97
61,0,0.92758948338436,0,False,0.5,71,71,0,39,10001R,62,2,2,59,59,82,82
62,-0.2,0.299137139016679,15.0332963783729,True,0.5,71,72,0.8,39,10001R,63,2,2,59,60,82,97
63,0,0.209285899736338,15.0332963783729,True,0.5,71,72,1,39,10001R,64,2,2,59,60,82,97
64,0,0.174054177258411,9.48683298050514,True,0.4,44,71,1,39,10001R,65,2,2,56,59,91,82
65,0,0.260931204000902,0,False,0.333333333333333,72,72,0.4,39,10001R,66,2,2,60,60,97,97
66,0,0.185032646759959,9.48683298050514,True,0.4,44,71,0.4,39,10001R,67,2,2,56,59,91,82
67,0,0.264810068634995,15.0332963783729,True,0.5,71,72,0.2,39,10001R,68,2,2,59,60,82,97
68,,0.252378550387957,0,False,0.333333333333333,72,72,,39,10001R,69,2,2,60,60,97,97
69,-0.2,0.197603222841906,15.0332963783729,True,0.5,71,72,0.6,39,10001R,70,2,2,59,60,82,97
70,-0.2,0.202546164529364,7.21110255092798,True,0.3,44,72,0.8,39,10001R,71,2,2,56,60,91,97
71,,0.177724498192993,0,False,0.333333333333333,44,44,,39,10001R,72,2,2,56,56,91,91
0,0,0.163610442876773,6.70820393249937,True,0.555555555555556,41,16,-0.4,40,10001R,1,3,2,77,74,94,100
1,0,0.186532655965573,0,False,0.5,41,41,0,40,10001R,2,3,3,77,77,94,94
2,0,0.140243228792381,0,False,0.666666666666667,16,16,0,40,10001R,3,2,2,74,74,100,100
3,0,0.155731703709024,6.70820393249937,True,0.555555555555556,41,16,-0.2,40,10001R,4,3,2,77,74,94,100
4,0,0.261375842400067,0,False,0.666666666666667,16,16,-0.4,40,10001R,5,2,2,74,74,100,100
5,0,0.203332987284341,0,False,0.666666666666667,16,16,-0.6,40,10001R,6,2,2,74,74,100,100
6,0,0.181381217649209,0,False,0.666666666666667,16,16,-0.4,40,10001R,7,2,2,74,74,100,100
7,0,0.174234874283949,7.07106781186548,True,0.5,41,42,-0.6,40,10001R,8,3,3,77,84,94,93
8,0,0.188999020685739,0,False,0.666666666666667,16,16,-0.6,40,10001R,9,2,2,74,74,100,100
9,0,0.211537931860084,0,False,0.5,41,41,-0.4,40,10001R,10,3,3,77,77,94,94
10,0,0.122652537849511,0,False,0.5,41,41,0,40,10001R,11,3,3,77,77,94,94
11,0,0.166213822815233,7.07106781186548,True,0.5,41,42,-0.6,40,10001R,12,3,3,77,84,94,93
12,0,0.24034098868331,0,False,0.5,42,42,-0.6,40,10001R,13,3,3,84,84,93,93
13,0,0.171843559165192,7.07106781186548,True,0.5,41,42,0,40,10001R,14,3,3,77,84,94,93
14,0,0.146530807017526,12.2065556157337,True,0.5,16,42,-0.8,40,10001R,15,2,3,74,84,100,93
15,0,0.182265277744093,0,False,0.5,42,42,-0.6,40,10001R,16,3,3,84,84,93,93
